timestamp,j1_pos,j1_vel,j2_pos,j2_vel,j3_pos,j3_vel,j4_pos,j4_vel,j5_pos,j5_vel,j6_pos,j6_vel
17.1044,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0787754,0.00732613,0.0276575,0.139194,0.26608,-0.256411
17.1065,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0787754,0.00732613,0.0276575,0.10989,0.265317,-0.271063
17.1085,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0787754,0.00732613,0.028039,0.0952377,0.264554,-0.271063
17.1107,-0.0455866,0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0787754,-0.00732803,0.028039,0.0805855,0.263791,-0.271063
17.1127,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0787754,-0.00732803,0.028039,0.0659332,0.262647,-0.271063
17.1146,-0.0455866,-0.00244236,0.0135422,0.00732613,0.10586,-0.00244236,0.0787754,0.00732613,0.0284204,0.0512829,0.261884,-0.256411
17.1165,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0787754,-0.00732803,0.0284204,0.0512829,0.261121,-0.256411
17.1186,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0787754,0.00732613,0.0284204,0.0512829,0.260358,-0.271063
17.1205,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,-0.00732803,0.0288019,0.0659332,0.259595,-0.256411
17.1225,-0.0455866,-0.00244236,0.0139236,0.00732613,0.10586,-0.00244236,0.0783939,-0.00732803,0.0288019,0.0512829,0.258832,-0.227106
17.1246,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0291834,0.0805855,0.258451,-0.212454
17.1266,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0295649,0.0805855,0.257688,-0.212454
17.1288,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0299463,0.0805855,0.257306,-0.183149
17.1308,-0.0455866,-0.00244236,0.0135422,0.00244236,0.10586,-0.00244236,0.0783939,0.00732613,0.0299463,0.0805855,0.256925,-0.168499
